name,size,images,current_price,rating,num_reviews,comfort,best for,mattress type,height,Cooling TechYeslogy,Motion Separation,Pressure Relief,Support,Adjustable Base Friendly,Breathable,Mattress in a Box,ProductID
"Beautyrest BR800 13.5"" Plush Pillow Top Mattress","[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Plush_Pillow_Top_Mattress/image_3.jpg']","[$ 367.99, $ 471.99, $ 471.99, $ 487.99, $ 487.99, $ 599.99, $ 599.99]",4.1,1741,Plush,Side Sleepers,Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,1
"Beautyrest BR800 12"" Medium Mattress","[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_BR800_12_Medium_Mattress/image_1.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_2.jpg', 'images/Beautyrest_BR800_12_Medium_Mattress/image_3.jpg']","[$ 359.99, $ 383.99, $ 383.99, $ 399.99, $ 399.99, $ 519.99, $ 519.99]",4,2134,Medium,"Side, Stomach and Back Sleepers",Innerspring,"12""",Yes,Yes,Yes,Yes,Yes,Yes,No,2
"Beautyrest Silver® BRS900 11.75"" Extra Firm Mattress","[“Twin”, “Twin XL”, “Full”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_Silver®_BRS900_11.75_Extra_Firm_Mattress/image_1.jpg', 'images/Beautyrest_Silver®_BRS900_11.75_Extra_Firm_Mattress/image_2.jpg']","[$ 462.99, $ 524.99, $ 524.99, $ 539.99, $ 655.99, $ 655.99]",4.2,2066,Extra Firm,Back and Stomach Sleepers,Innerspring,"11.75""",Yes,Yes,Yes,Yes,Yes,Yes,No,3
Sleepy's By Sealy Memory Foam Medium Mattress,"[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Sleepys_By_Sealy_Memory_Foam_Medium_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Medium_Mattress/image_2.jpg', 'images/Sleepys_By_Sealy_Memory_Foam_Medium_Mattress/image_3.jpg']","[$ 244.99, $ 279.99, $ 349.99, $ 391.99, $ 461.99, $ 461.99]",4.3,1813,Medium,"Side, Stomach and Back Sleepers",Memory Foam,"10""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
"Nectar Classic 12"" Firm Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Nectar_Classic_12_Firm_Memory_Foam_Mattress/image_1.jpg', 'images/Nectar_Classic_12_Firm_Memory_Foam_Mattress/image_2.jpg']","[$ 349.99, $ 549.99, $ 599.99, $ 649.99, $ 849.99, $ 849.99]",4,17,Firm," Back and Stomach Sleepers, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,5
"Beautyrest BR800 13.5"" Medium Pillow Top Mattress","[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_BR800_13.5_Medium_Pillow_Top_Mattress/image_1.jpg', 'images/Beautyrest_BR800_13.5_Medium_Pillow_Top_Mattress/image_2.jpg', 'images/Beautyrest_BR800_13.5_Medium_Pillow_Top_Mattress/image_3.jpg']","[$ 367.99, $ 471.99, $ 471.99, $ 487.99, $ 487.99, $ 599.99, $ 599.99]",4.1,1085,Medium,"Side, Stomach and Back Sleepers",Innerspring,"13.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,6
"Sealy Posturepedic® Hybrid Lacey 13"" Firm Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Hybrid_Lacey_13_Firm_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Hybrid_Lacey_13_Firm_Mattress/image_2.jpg', 'images/Sealy_Posturepedic®_Hybrid_Lacey_13_Firm_Mattress/image_3.jpg']","[$ 531.99, $ 567.99, $ 638.99, $ 679.99, $ 827.99, $ 827.99, $ 567.99]",4.6,2149,Firm,Back and Stomach Sleepers,Hybrid,"13""",Yes,Yes,Yes,Yes,Yes,Yes,No,7
Sleepy's By Sealy® Medium Euro Top Mattress,"[“Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Sleepys_By_Sealy®_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Sleepys_By_Sealy®_Medium_Euro_Top_Mattress/image_2.jpg']","[$ 449.99, $ 499.99, $ 549.99, $ 599.99, $ 599.99, $ 799.99, $ 799.99]",4.3,2431,Medium,"Side, Stomach and Back Sleepers",Innerspring,"10.5""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Sleepy's Basic Innerspring Firm Mattress,"[“Twin”, “Full”,“Queen”, “King”]","['images/Sleepys_Basic_Innerspring_Firm_Mattress/image_1.jpg', 'images/Sleepys_Basic_Innerspring_Firm_Mattress/image_2.jpg', 'images/Sleepys_Basic_Innerspring_Firm_Mattress/image_3.jpg']","[$ 159.99, $ 179.99, $ 209.99, $ 259.99]",4.1,7407,Firm,Back and Stomach Sleepers,Innerspring,"8.25""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Serta Perfect Sleeper® Charlotte 2.0 Medium Euro Top Mattress,"[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Charlotte_2.0_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Charlotte_2.0_Medium_Euro_Top_Mattress/image_2.jpg']","[$ 499.99, $ 549.99, $ 549.99, $ 599.99, $ 749.99, $ 749.99]",4.3,1146,Medium,"Side, Stomach and Back Sleepers",Innerspring,"10.5""",Yes,Yes,Yes,Yes,Yes,Yes,No,10
"Tulo Bamboo 10"" Medium Plush Green Tea Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”]","['images/Tulo_Bamboo_10_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_10_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_10_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_3.jpg']","[$ 215.99, $ 223.99, $ 261.99, $ 299.99, $ 337.99]",4.2,4571,Medium,"Side, Stomach and Back Sleepers",Memory Foam,"10""",No,No,Yes,Yes,Yes,Yes,Yes,11
"Tulo Bamboo 12"" Medium Plush Green Tea Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”]","['images/Tulo_Bamboo_12_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_12_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_12_Medium_Plush_Green_Tea_Memory_Foam_Mattress/image_3.jpg']","[$ 250.99, $ 262.99, $ 314.99, $ 346.99, $ 406.99]",4.2,4571,Medium,"Side, Stomach and Back Sleepers",Memory Foam,"12""",No,No,Yes,Yes,Yes,Yes,Yes,12
"Beautyrest PressureSmart™ 2.0 Plush 11.75"" Mattress","[“Split Cal King”, “Twin”, “Twin XL”, “Full”, “Full XL”,“Queen”, “King”, “Cal King”]","['images/Beautyrest_PressureSmart™_2.0_Plush_11.75_Mattress/image_1.jpg', 'images/Beautyrest_PressureSmart™_2.0_Plush_11.75_Mattress/image_2.jpg']","[$ 999.99, $ 799.99, $ 999.99, $ 1049.99, $ 1049.99, $ 1049.99, $ 1449.99, $ 1449.99]",4.2,3439,Plush,Side Sleepers,Innerspring,"11.75""",Yes,Yes,Yes,Yes,Yes,Yes,No,13
"Sealy Posturepedic® Hybrid Yesrman 12"" Medium Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Hybrid_Yesrman_12_Medium_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Hybrid_Yesrman_12_Medium_Mattress/image_2.jpg']","[$ 899.99, $ 999.99, $ 999.99, $ 1099.99, $ 1299.99, $ 1299.99, $ 999.99]",4.4,3437,Medium,"Side, Stomach and Back Sleepers",Hybrid,"12""",Yes,Yes,Yes,Yes,Yes,Yes,No,14
"Serta Perfect Sleeper® Elkins III 10"" Firm Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Elkins_III_10_Firm_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Elkins_III_10_Firm_Mattress/image_2.jpg']","[$ 327.99, $ 404.99, $ 404.99, $ 449.99, $ 539.99, $ 539.99]",4,1401,Firm,"Back and Stomach Sleepers, Pain and Temperature",Foam,,No,No,No,No,No,No,No,15
"Serta Perfect Sleeper® Nurture Night 14.5"" Pillow Top Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Nurture_Night_14.5_Pillow_Top_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Nurture_Night_14.5_Pillow_Top_Mattress/image_2.jpg']","[$ 612.99, $ 651.99, $ 674.99, $ 689.99, $ 958.99, $ 958.99]",4.5,544,Plush,"Side Sleepers, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,16
"Sealy Posturepedic® Silver Pine 15"" Medium Euro Top Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”, “Split Cal King”]","['images/Sealy_Posturepedic®_Silver_Pine_15_Medium_Euro_Top_Mattress/image_1.jpg', 'images/Sealy_Posturepedic®_Silver_Pine_15_Medium_Euro_Top_Mattress/image_2.jpg', 'images/Sealy_Posturepedic®_Silver_Pine_15_Medium_Euro_Top_Mattress/image_3.jpg']","[$ 675.99, $ 769.99, $ 769.99, $ 779.99, $ 935.99, $ 935.99, $ 769.99]",4.4,576,Medium,"All Sleep Positions, Pain and Bed Partner",Innerspring,"15""",Yes,No,Yes,Yes,Yes,Yes,No,17
Sleepy's Rest Firm 2.0 Innerspring Mattress,"[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Sleepys_Rest_Firm_2.0_Innerspring_Mattress/image_1.jpg', 'images/Sleepys_Rest_Firm_2.0_Innerspring_Mattress/image_2.jpg', 'images/Sleepys_Rest_Firm_2.0_Innerspring_Mattress/image_3.jpg']","[$ 239.99, $ 249.99, $ 329.99, $ 349.99, $ 449.99, $ 449.99]",4.2,5753,Firm,Back and Stomach Sleepers,Innerspring,"9.5""",Yes,Yes,Yes,Yes,Yes,Yes,Yes,18
Serta Perfect Sleeper® Sleep Excellence™ Plush Mattress,"[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_Perfect_Sleeper®_Sleep_Excellence™_Plush_Mattress/image_1.jpg', 'images/Serta_Perfect_Sleeper®_Sleep_Excellence™_Plush_Mattress/image_2.jpg']","[$ 599.99, $ 699.99, $ 779.99, $ 799.99, $ 1099.99, $ 1099.99]",4.2,407,Plush,"Side Sleepers, Pain and Toss and Turn",Memory Foam,,No,No,No,No,No,No,No,19
"Tulo Bamboo 8"" Medium Green Tea Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”]","['images/Tulo_Bamboo_8_Medium_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_8_Medium_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_8_Medium_Green_Tea_Memory_Foam_Mattress/image_3.jpg']","[$ 180.99, $ 191.99, $ 220.99, $ 249.99, $ 292.99]",4.2,4571,Medium,"Side, Stomach and Back Sleepers",Memory Foam,"8""",No,No,Yes,Yes,Yes,Yes,Yes,20
"Serta Classic® Blissville 12.5"" Plush Euro Top Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_Classic®_Blissville\xa0_12.5_Plush_Euro_Top_Mattress/image_1.jpg', 'images/Serta_Classic®_Blissville\xa0_12.5_Plush_Euro_Top_Mattress/image_2.jpg']","[$ 399.99, $ 432.99, $ 486.99, $ 499.99, $ 799.99, $ 799.99]",4.9,96,Plush,"Side Sleepers, Pain and Temperature",Plush,,No,No,No,No,No,No,No,21
"Serta Classic® Blissville 11.5"" Medium Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_Classic®_Blissville\xa0_11.5_Medium_Mattress/image_1.jpg', 'images/Serta_Classic®_Blissville\xa0_11.5_Medium_Mattress/image_2.jpg']","[$ 330.99, $ 363.99, $ 429.99, $ 449.99, $ 727.99, $ 727.99]",4.8,93,Medium,"All Sleep Positions, Pain and Temperature",Foam,,No,No,No,No,No,No,No,22
"Nectar Premier 13"" Medium Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Nectar_Premier_13_Medium_Memory_Foam_Mattress/image_1.jpg', 'images/Nectar_Premier_13_Medium_Memory_Foam_Mattress/image_2.jpg']","[$ 549.99, $ 749.99, $ 899.99, $ 949.99, $ 1099.99, $ 1099.99]",4.7,26,Medium,"All Sleep Positions, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,23
"Serta Classic® Blissville 12.5"" Firm Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_Classic®_Blissville\xa0_12.5_Firm_Mattress/image_1.jpg', 'images/Serta_Classic®_Blissville\xa0_12.5_Firm_Mattress/image_2.jpg']","[$ 599.99, $ 649.99, $ 729.99, $ 749.99, $ 1199.99, $ 1199.99]",4.8,92,Firm,"Back and Stomach Sleepers, Pain and Temperature",Foam,,No,No,No,No,No,No,No,24
"Nectar Luxe 14"" Medium Hybrid Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Nectar_Luxe_14_Medium_Hybrid_Mattress/image_1.jpg', 'images/Nectar_Luxe_14_Medium_Hybrid_Mattress/image_2.jpg']","[$ 1099.99, $ 1299.99, $ 1299.99, $ 1399.99, $ 1799.99, $ 1799.99]",4.3,0,Medium,"All Sleep Positions, Pain and Bed Partner",Hybrid,,No,No,No,No,No,No,No,25
"Nectar Classic 12"" Firm Hybrid Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Nectar_Classic_12_Firm_Hybrid_Mattress/image_1.jpg', 'images/Nectar_Classic_12_Firm_Hybrid_Mattress/image_2.jpg']","[$ 499.99, $ 749.99, $ 749.99, $ 799.99, $ 999.99, $ 999.99]",4.3,0,Firm,"Back and Stomach Sleepers, Pain and Bed Partner",Hybrid,,No,No,No,No,No,No,No,26
"Nectar Luxe 14"" Medium Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Nectar_Luxe_14_Medium_Memory_Foam_Mattress/image_1.jpg', 'images/Nectar_Luxe_14_Medium_Memory_Foam_Mattress/image_2.jpg']","[$ 99.99, $ 1099.99, $ 1199.99, $ 1249.99, $ 1499.99, $ 1499.99]",4.4,17,Medium,"All Sleep Positions, Pain and Bed Partner",Memory Foam,,No,No,No,No,No,No,No,27
"Nectar Premier 13"" Medium Hybrid Mattress","[“Twin”, “Twin XL”, “Queen”, “King”, “Cal King”]","['images/Nectar_Premier_13_Medium_Hybrid_Mattress/image_1.jpg', 'images/Nectar_Premier_13_Medium_Hybrid_Mattress/image_2.jpg']","[$ 799.99, $ 999.99, $ 1099.99, $ 1299.99, $ 1299.99]",4.3,0,Medium,"All Sleep Positions, Pain and Bed Partner",Hybrid,,No,No,No,No,No,No,No,28
"Serta iComfort Aspire 14"" Plush Mattress","[“Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_iComfort_Aspire_14_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Aspire_14_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Aspire_14_Plush_Mattress/image_3.jpg']","[$ 1499.99, $ 1849.99, $ 1999.99, $ 2699.99, $ 2699.99]",4.7,16,Plush,"Side Sleepers, Pain and Temperature",Plush,,No,No,No,No,No,No,No,29
"Serta iComfort Elana 11.5"" Firm Mattress","[“Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_1.jpg', 'images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_2.jpg', 'images/Serta_iComfort_Elana_11.5_Firm_Mattress/image_3.jpg']","[$ 999.99, $ 1499.99, $ 1299.99, $ 1899.99, $ 1899.99]",4.8,17,Firm,"Back and Stomach Sleepers, Pain and Temperature",Foam,,No,No,No,No,No,No,No,30
"Serta iComfort Aspire 14"" Medium Mattress","[“Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_iComfort_Aspire_14_Medium_Mattress/image_1.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_2.jpg', 'images/Serta_iComfort_Aspire_14_Medium_Mattress/image_3.jpg']","[$ 1499.99, $ 1849.99, $ 1999.99, $ 2699.99, $ 2699.99]",4.6,17,Medium,"All Sleep Positions, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,31
"Serta iComfort Aveda 12"" Plush Mattress","[“Twin XL”, “Full”, “Queen”, “King”, “Cal King”]","['images/Serta_iComfort_Aveda_12_Plush_Mattress/image_1.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_2.jpg', 'images/Serta_iComfort_Aveda_12_Plush_Mattress/image_3.jpg']","[$ 1199.99, $ 1349.99, $ 1499.99, $ 2099.99, $ 2099.99]",4.5,14,Plush,"Side Sleepers, Pain and Temperature",Memory Foam,,No,No,No,No,No,No,No,32
"Tulo Bamboo 6"" Firm Green Tea Memory Foam Mattress","[“Twin”, “Twin XL”, “Full”, “Queen”, “King”]","['images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_1.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_2.jpg', 'images/Tulo_Bamboo_6_Firm_Green_Tea_Memory_Foam_Mattress/image_3.jpg']","[$ 136.99, $ 142.99, $ 177.99, $ 199.99, $ 231.99]",4.2,4571,Firm,Back and Stomach Sleepers,Memory Foam,"6""",No,No,Yes,Yes,Yes,Yes,Yes,33
